product_id,brand_id,category,product_lifecycle,main_material,weight_grams
FR_PRD_00000,FR03,Innerwear & Loungewear,Seasonal_Standard,AIRism (Cupro/Poliestere),227
FR_PRD_00001,FR03,Knitwear,Seasonal_Standard,Cashmere 3D Knit,390
FR_PRD_00002,FR04,Innerwear & Loungewear,Seasonal_Standard,AIRism (Cupro/Poliestere),141
FR_PRD_00003,FR02,Smart Casual Pants,Core_Long_Term,Cotone Supima,230
FR_PRD_00004,FR04,Smart Casual Pants,Seasonal_Standard,Cotone Supima,343
FR_PRD_00005,FR01,T-Shirts & Sweatshirts,Core_Long_Term,Cotone Supima,171
FR_PRD_00006,FR03,Knitwear,Seasonal_Standard,Lana Merino Extra Fine,281
FR_PRD_00007,FR04,Fleece & Outerwear,Seasonal_Standard,Ultra Light Down (Nylon/Piuma),270
FR_PRD_00008,FR04,T-Shirts & Sweatshirts,Seasonal_Standard,Cotone Supima,329
FR_PRD_00009,FR05,Innerwear & Loungewear,Seasonal_Standard,AIRism (Cupro/Poliestere),249
FR_PRD_00010,FR05,Fleece & Outerwear,Seasonal_Standard,Ultra Light Down (Nylon/Piuma),206
FR_PRD_00011,FR05,Innerwear & Loungewear,Seasonal_Standard,AIRism (Cupro/Poliestere),240
FR_PRD_00012,FR04,T-Shirts & Sweatshirts,Seasonal_Standard,Cotone Supima,332
FR_PRD_00013,FR03,Fleece & Outerwear,Seasonal_Standard,Ultra Light Down (Nylon/Piuma),301
FR_PRD_00014,FR02,Fleece & Outerwear,Core_Long_Term,Ultra Light Down (Nylon/Piuma),450
FR_PRD_00015,FR02,Innerwear & Loungewear,Core_Long_Term,AIRism (Cupro/Poliestere),119
FR_PRD_00016,FR01,Smart Casual Pants,Core_Long_Term,Cotone Supima,288
FR_PRD_00017,FR06,T-Shirts & Sweatshirts,Seasonal_Standard,Cotone Supima,272
FR_PRD_00018,FR05,Innerwear & Loungewear,Seasonal_Standard,HEATTECH (Misto Acrilico/Rayon),116
FR_PRD_00019,FR05,Knitwear,Seasonal_Standard,Lana Merino Extra Fine,321
FR_PRD_00020,FR01,Smart Casual Pants,Core_Long_Term,Cotone Supima,240
FR_PRD_00021,FR06,Innerwear & Loungewear,Seasonal_Standard,AIRism (Cupro/Poliestere),196
FR_PRD_00022,FR01,Smart Casual Pants,Core_Long_Term,Cotone Supima,222
