product_id,brand_id,brand_tier,category,main_material,weight_grams
SPC_PRD_0000,SPC01,Fast Fashion,Crop Tops,Acrilico Economico,292
SPC_PRD_0001,SPC04,Outdoor,Outerwear,Nylon Riciclato,689
SPC_PRD_0002,SPC02,Teen Value Retail,Hoodies,Cotone Supima,509
SPC_PRD_0003,SPC05,Activewear,Sneakers,Poliestere High-Performance,513
SPC_PRD_0004,SPC02,Teen Value Retail,Basic Tees,Cotone Supima,394
SPC_PRD_0005,SPC06,Denim,Casual Shirts,Denim Misto Elastan,742
SPC_PRD_0006,SPC05,Activewear,Sneakers,Poliestere High-Performance,708
SPC_PRD_0007,SPC04,Outdoor,Fleece,Lana Merino,1138
SPC_PRD_0008,SPC03,Heritage / Premium,Knitwear,Lana Merino,1033
SPC_PRD_0009,SPC05,Activewear,Sneakers,Poliestere High-Performance,197
SPC_PRD_0010,SPC02,Teen Value Retail,Hoodies,Cotone Supima,418
SPC_PRD_0011,SPC03,Heritage / Premium,Dress Shirts,Cotone Supima,406
SPC_PRD_0012,SPC02,Teen Value Retail,Basic Tees,Acrilico Economico,256
SPC_PRD_0013,SPC01,Fast Fashion,Graphic Tees,Denim Misto Elastan,135
SPC_PRD_0014,SPC06,Denim,Denim Jeans,Denim Misto Elastan,693
SPC_PRD_0015,SPC01,Fast Fashion,Graphic Tees,Acrilico Economico,165
SPC_PRD_0016,SPC04,Outdoor,Fleece,Lana Merino,635
SPC_PRD_0017,SPC03,Heritage / Premium,Dress Shirts,Cotone Supima,889
SPC_PRD_0018,SPC06,Denim,Denim Jeans,Denim Misto Elastan,745
SPC_PRD_0019,SPC03,Heritage / Premium,Dress Shirts,Lana Merino,533
SPC_PRD_0020,SPC03,Heritage / Premium,Knitwear,Lana Merino,415
SPC_PRD_0021,SPC06,Denim,Denim Jeans,Denim Misto Elastan,876
SPC_PRD_0022,SPC04,Outdoor,Outerwear,Nylon Riciclato,1029
SPC_PRD_0023,SPC05,Activewear,Sneakers,Poliestere High-Performance,755
SPC_PRD_0024,SPC05,Activewear,Activewear Sets,Poliestere High-Performance,491
SPC_PRD_0025,SPC06,Denim,Casual Shirts,Denim Misto Elastan,538
SPC_PRD_0026,SPC04,Outdoor,Outerwear,Lana Merino,1153
SPC_PRD_0027,SPC04,Outdoor,Outerwear,Lana Merino,1345
SPC_PRD_0028,SPC03,Heritage / Premium,Suits & Tailoring,Lana Merino,1075
SPC_PRD_0029,SPC04,Outdoor,Fleece,Nylon Riciclato,959
SPC_PRD_0030,SPC03,Heritage / Premium,Knitwear,Lana Merino,710
SPC_PRD_0031,SPC03,Heritage / Premium,Dress Shirts,Cotone Supima,839
SPC_PRD_0032,SPC05,Activewear,Sports Bras,Poliestere High-Performance,427
SPC_PRD_0033,SPC01,Fast Fashion,Graphic Tees,Denim Misto Elastan,278
SPC_PRD_0034,SPC06,Denim,Casual Shirts,Denim Misto Elastan,552
SPC_PRD_0035,SPC05,Activewear,Activewear Sets,Poliestere High-Performance,403
SPC_PRD_0036,SPC06,Denim,Casual Shirts,Denim Misto Elastan,741
SPC_PRD_0037,SPC01,Fast Fashion,Graphic Tees,Denim Misto Elastan,300
SPC_PRD_0038,SPC03,Heritage / Premium,Suits & Tailoring,Lana Merino,1048
SPC_PRD_0039,SPC02,Teen Value Retail,Basic Tees,Cotone Supima,465
SPC_PRD_0040,SPC06,Denim,Casual Shirts,Denim Misto Elastan,863
SPC_PRD_0041,SPC06,Denim,Denim Jeans,Denim Misto Elastan,773
SPC_PRD_0042,SPC06,Denim,Denim Jeans,Denim Misto Elastan,582
SPC_PRD_0043,SPC03,Heritage / Premium,Dress Shirts,Cotone Supima,955
SPC_PRD_0044,SPC04,Outdoor,Hiking Pants,Nylon Riciclato,809
SPC_PRD_0045,SPC01,Fast Fashion,Graphic Tees,Acrilico Economico,229
SPC_PRD_0046,SPC04,Outdoor,Fleece,Lana Merino,1026
SPC_PRD_0047,SPC05,Activewear,Sneakers,Poliestere High-Performance,565
SPC_PRD_0048,SPC06,Denim,Denim Jeans,Denim Misto Elastan,733
SPC_PRD_0049,SPC04,Outdoor,Outerwear,Nylon Riciclato,539
SPC_PRD_0050,SPC01,Fast Fashion,Graphic Tees,Denim Misto Elastan,276
SPC_PRD_0051,SPC02,Teen Value Retail,Basic Tees,Cotone Supima,250
SPC_PRD_0052,SPC03,Heritage / Premium,Suits & Tailoring,Cotone Supima,1177
SPC_PRD_0053,SPC03,Heritage / Premium,Suits & Tailoring,Lana Merino,376
SPC_PRD_0054,SPC05,Activewear,Sneakers,Poliestere High-Performance,467
SPC_PRD_0055,SPC02,Teen Value Retail,Basic Tees,Acrilico Economico,218
SPC_PRD_0056,SPC01,Fast Fashion,Crop Tops,Denim Misto Elastan,213
SPC_PRD_0057,SPC06,Denim,Casual Shirts,Denim Misto Elastan,747
SPC_PRD_0058,SPC04,Outdoor,Fleece,Lana Merino,1098
