product_id,brand_id,category,collection_cycle,main_material,weight_grams
PROD_0000,B004,Abiti,Weekly,Cotone Organico,400
PROD_0001,B003,Abiti,Weekly,Nylon,375
PROD_0002,B002,Scarpe,Seasonal,Nylon,920
PROD_0003,B003,T-shirt,Weekly,Viscosa,176
PROD_0004,B001,Maglieria,Weekly,Poliestere,381
PROD_0005,B003,Jeans,Seasonal,Cotone Convenzionale,684
PROD_0006,B003,Accessori,Seasonal,Cotone Organico,484
PROD_0007,B001,Scarpe,Seasonal,Cotone Organico,910
PROD_0008,B002,T-shirt,Weekly,Poliestere,214
PROD_0009,B005,Abiti,Seasonal,Viscosa,433
PROD_0010,B007,Abiti,Seasonal,Poliestere,486
PROD_0011,B005,Accessori,Seasonal,Cotone Convenzionale,438
PROD_0012,B002,Abiti,Weekly,Poliestere,471
PROD_0013,B006,Maglieria,Seasonal,Nylon,452
PROD_0014,B007,T-shirt,Weekly,Cotone Convenzionale,181
PROD_0015,B003,Jeans,Seasonal,Poliestere,669
PROD_0016,B005,Abiti,Weekly,Poliestere,307
PROD_0017,B001,Accessori,Seasonal,Cotone Convenzionale,346
PROD_0018,B002,Scarpe,Seasonal,Cotone Convenzionale,1010
PROD_0019,B003,Jeans,Weekly,Viscosa,563
PROD_0020,B002,Accessori,Seasonal,Poliestere,442
PROD_0021,B005,Accessori,Seasonal,Nylon,579
PROD_0022,B002,Scarpe,Seasonal,Viscosa,1083
PROD_0023,B001,T-shirt,Weekly,Cotone Organico,153
PROD_0024,B003,Jeans,Seasonal,Lana,649
PROD_0025,B001,Abiti,Seasonal,Viscosa,560
PROD_0026,B001,Accessori,Weekly,Nylon,487
PROD_0027,B007,Abiti,Weekly,Viscosa,412
PROD_0028,B006,Maglieria,Seasonal,Poliestere,411
PROD_0029,B005,Accessori,Weekly,Cotone Organico,441
PROD_0030,B006,Accessori,Seasonal,Nylon,584
PROD_0031,B002,T-shirt,Seasonal,Cotone Organico,241
PROD_0032,B002,Scarpe,Seasonal,Lana,836
PROD_0033,B004,Jeans,Seasonal,Poliestere,593
PROD_0034,B001,Abiti,Seasonal,Cotone Convenzionale,430
PROD_0035,B006,Accessori,Seasonal,Lana,414
PROD_0036,B007,Jeans,Seasonal,Lana,606
PROD_0037,B001,Abiti,Weekly,Nylon,459
PROD_0038,B001,T-shirt,Weekly,Viscosa,244
PROD_0039,B002,Abiti,Seasonal,Nylon,470
PROD_0040,B006,Maglieria,Seasonal,Cotone Convenzionale,495
PROD_0041,B002,Jeans,Seasonal,Poliestere,580
PROD_0042,B007,Abiti,Seasonal,Poliestere,588
PROD_0043,B007,Abiti,Seasonal,Cotone Convenzionale,355
PROD_0044,B005,Scarpe,Weekly,Lana,913
PROD_0045,B003,Scarpe,Weekly,Lana,1106
PROD_0046,B006,Accessori,Weekly,Viscosa,379
PROD_0047,B001,Scarpe,Weekly,Lana,837
PROD_0048,B004,T-shirt,Weekly,Cotone Organico,152
PROD_0049,B004,Maglieria,Seasonal,Cotone Convenzionale,470
PROD_0050,B001,Scarpe,Weekly,Nylon,753
PROD_0051,B001,Scarpe,Seasonal,Cotone Convenzionale,728
PROD_0052,B001,T-shirt,Weekly,Viscosa,240
PROD_0053,B005,T-shirt,Seasonal,Lana,249
PROD_0054,B002,Maglieria,Seasonal,Cotone Organico,380
PROD_0055,B001,T-shirt,Weekly,Viscosa,222
PROD_0056,B001,Jeans,Weekly,Poliestere,523
PROD_0057,B007,T-shirt,Weekly,Lana,206
PROD_0058,B004,Scarpe,Weekly,Nylon,812
PROD_0059,B002,T-shirt,Seasonal,Lana,176
PROD_0060,B002,Abiti,Weekly,Lana,341
PROD_0061,B002,Jeans,Seasonal,Cotone Organico,719
PROD_0062,B005,Abiti,Seasonal,Cotone Convenzionale,522
PROD_0063,B004,Jeans,Weekly,Poliestere,572
PROD_0064,B005,Maglieria,Seasonal,Poliestere,478
PROD_0065,B004,Maglieria,Seasonal,Cotone Organico,310
PROD_0066,B007,Scarpe,Weekly,Poliestere,1181
PROD_0067,B003,Maglieria,Seasonal,Lana,567
PROD_0068,B007,Accessori,Weekly,Nylon,557
PROD_0069,B003,Scarpe,Seasonal,Nylon,971
PROD_0070,B002,Maglieria,Weekly,Poliestere,320
PROD_0071,B002,Maglieria,Weekly,Poliestere,436
PROD_0072,B005,Accessori,Seasonal,Lana,491
PROD_0073,B007,T-shirt,Weekly,Nylon,197
PROD_0074,B001,Maglieria,Seasonal,Viscosa,436
PROD_0075,B004,Abiti,Seasonal,Lana,366
PROD_0076,B002,T-shirt,Weekly,Cotone Organico,209
PROD_0077,B003,Scarpe,Weekly,Viscosa,713
PROD_0078,B004,Abiti,Weekly,Cotone Convenzionale,370
PROD_0079,B002,Abiti,Weekly,Cotone Organico,409
PROD_0080,B003,Jeans,Seasonal,Cotone Convenzionale,696
PROD_0081,B001,Abiti,Weekly,Cotone Organico,432
PROD_0082,B005,Abiti,Seasonal,Viscosa,345
PROD_0083,B005,Accessori,Seasonal,Nylon,467
PROD_0084,B005,Abiti,Seasonal,Cotone Organico,542
PROD_0085,B005,Scarpe,Seasonal,Nylon,732
PROD_0086,B003,T-shirt,Weekly,Cotone Organico,157
PROD_0087,B004,Jeans,Weekly,Nylon,692
PROD_0088,B006,Maglieria,Weekly,Cotone Convenzionale,384
PROD_0089,B001,Maglieria,Seasonal,Poliestere,370
PROD_0090,B006,T-shirt,Weekly,Nylon,172
PROD_0091,B007,T-shirt,Seasonal,Cotone Convenzionale,215
PROD_0092,B003,T-shirt,Seasonal,Viscosa,246
PROD_0093,B001,Accessori,Weekly,Nylon,461
PROD_0094,B003,T-shirt,Weekly,Lana,221
PROD_0095,B004,Scarpe,Seasonal,Viscosa,1083
PROD_0096,B004,Accessori,Seasonal,Viscosa,487
PROD_0097,B007,Jeans,Weekly,Cotone Organico,581
PROD_0098,B003,Maglieria,Weekly,Poliestere,450
PROD_0099,B004,T-shirt,Seasonal,Cotone Organico,214
PROD_0100,B007,Scarpe,Seasonal,Nylon,1057
PROD_0101,B001,Maglieria,Weekly,Lana,555
PROD_0102,B002,Abiti,Seasonal,Lana,535
PROD_0103,B007,Jeans,Seasonal,Cotone Convenzionale,535
PROD_0104,B006,Maglieria,Weekly,Cotone Organico,477
PROD_0105,B003,Jeans,Seasonal,Viscosa,655
PROD_0106,B006,Jeans,Weekly,Poliestere,583
PROD_0107,B003,Maglieria,Seasonal,Lana,317
PROD_0108,B007,Jeans,Seasonal,Viscosa,639
PROD_0109,B005,T-shirt,Seasonal,Viscosa,177
PROD_0110,B007,Accessori,Seasonal,Nylon,390
PROD_0111,B007,Accessori,Weekly,Cotone Organico,320
PROD_0112,B007,Jeans,Seasonal,Nylon,790
PROD_0113,B007,Accessori,Seasonal,Poliestere,431
PROD_0114,B005,T-shirt,Weekly,Poliestere,187
PROD_0115,B007,Abiti,Weekly,Nylon,409
PROD_0116,B002,T-shirt,Weekly,Cotone Organico,225
PROD_0117,B005,Maglieria,Weekly,Cotone Convenzionale,467
PROD_0118,B006,Jeans,Weekly,Cotone Convenzionale,767
PROD_0119,B001,T-shirt,Seasonal,Cotone Convenzionale,203
PROD_0120,B002,Accessori,Seasonal,Lana,343
PROD_0121,B006,Accessori,Seasonal,Viscosa,407
PROD_0122,B007,Maglieria,Weekly,Nylon,539
PROD_0123,B007,Abiti,Weekly,Cotone Organico,540
PROD_0124,B006,Accessori,Seasonal,Cotone Organico,315
PROD_0125,B001,Abiti,Weekly,Cotone Organico,321
PROD_0126,B001,Abiti,Seasonal,Lana,314
PROD_0127,B005,Accessori,Seasonal,Nylon,401
PROD_0128,B005,Scarpe,Seasonal,Cotone Convenzionale,991
PROD_0129,B005,T-shirt,Seasonal,Cotone Convenzionale,167
PROD_0130,B004,Jeans,Weekly,Viscosa,601
PROD_0131,B003,Jeans,Weekly,Cotone Convenzionale,636
PROD_0132,B004,Jeans,Seasonal,Viscosa,660
PROD_0133,B007,Jeans,Seasonal,Viscosa,608
PROD_0134,B002,Scarpe,Weekly,Viscosa,1170
PROD_0135,B006,Maglieria,Seasonal,Poliestere,340
PROD_0136,B001,Maglieria,Weekly,Cotone Convenzionale,436
